Year,Value_in_Celsius
1958,0.13
1959,0.08
1960,0.05
1961,0.1
1962,0.11
1963,0.12
1964,-0.14
1965,-0.07
1966,-0.01
1967,0
1968,-0.03
1969,0.11
1970,0.06
1971,-0.07
1972,0.04
1973,0.2
1974,-0.06
1975,0.01
1976,-0.07
1977,0.21
1978,0.12
1979,0.23
1980,0.28
1981,0.32
1982,0.19
1983,0.36
1984,0.17
1985,0.16
1986,0.24
1987,0.38
1988,0.39
1989,0.29
1990,0.45
1991,0.39
1992,0.24
1993,0.28
1994,0.34
1995,0.47
1996,0.32
1997,0.52
1998,0.65
1999,0.44
2000,0.43
2001,0.57
2002,0.62
2003,0.64
2004,0.59
2005,0.67
2006,0.64
2007,0.62
2008,0.55
2009,0.65
2010,0.73
2011,0.58
2012,0.64
2013,0.68
2014,0.74
2015,0.93
2016,1
2017,0.91
2018,0.83
2019,0.95
2016,1
2017,0.91
2018,0.83
2019,0.95
